osm_id;ort;plz;bundesland;eintrag
2458400;Altenberga;07768;Thüringen;Weltklasse
155779;Altenberge;48341;Nordrhein-Westfalen;Weltklasse
1273353;Altenbeuthen;07338;Thüringen;Weltklasse
394512;Altenbuch;97901;Bayern;Weltklasse
1263721;Altenburg;04600;Thüringen;Weltklasse
537133;Altendiez;65624;Rheinland-Pfalz;Weltklasse
962080;Altendorf;92540;Bayern;Weltklasse
1077529;Altendorf;96146;Bayern;Weltklasse
1263905;Altenfeld;98701;Thüringen;Weltklasse
1246622;Altenglan;66885;Rheinland-Pfalz;Weltklasse
2876347;Altengottern;99991;Thüringen;Weltklasse
1427896;Altenhagen;17091;Mecklenburg-Vorpommern;Weltklasse
1286652;Altenhausen;39343;Sachsen-Anhalt;Weltklasse
554562;Altenhof;24340;Schleswig-Holstein;Weltklasse
1424152;Altenhof;17209;Mecklenburg-Vorpommern;Weltklasse
554747;Altenholz;24161;Schleswig-Holstein;Weltklasse
1252363;Altenkirchen;66903;Rheinland-Pfalz;Weltklasse
1437950;Altenkirchen;18556;Mecklenburg-Vorpommern;Weltklasse
418895;Altenkirchen (Westerwald);57610;Rheinland-Pfalz;Weltklasse
382409;Altenkrempe;23730;Schleswig-Holstein;Weltklasse
1026858;Altenkunstadt;96264;Bayern;Weltklasse
941639;Altenmarkt a.d. Alz;83352;Bayern;Weltklasse
1460228;Altenmedingen;29575;Niedersachsen;Weltklasse
447188;Altenmoor;25335;Schleswig-Holstein;Weltklasse
452561;Altenmünster;86450;Bayern;Weltklasse
374185;Altenpleen;18445;Mecklenburg-Vorpommern;Weltklasse
2796467;Altenriet;72657;Baden-Württemberg;Weltklasse
450108;Altenstadt;63674;Hessen;Weltklasse
936742;Altenstadt;86972;Bayern;Weltklasse
941073;Altenstadt;89281;Bayern;Weltklasse
1059433;Altenstadt a.d.Waldnaab;92665;Bayern;Weltklasse
1174479;Altensteig;72213;Baden-Württemberg;Weltklasse
964624;Altenthann;93177;Bayern;Weltklasse
1427888;Altentreptow;17087;Mecklenburg-Vorpommern;Weltklasse
1204726;Alterkülz;56288;Rheinland-Pfalz;Weltklasse
2829503;Altersbach;98587;Thüringen;Weltklasse
180669;Altertheim;97237;Bayern;Weltklasse
191496;Altfraunhofen;84169;Bayern;Weltklasse
162913;Altglienicke;12524;Berlin;Weltklasse
933521;Althegnenberg;82278;Bayern;Weltklasse
2802280;Altheim;88499;Baden-Württemberg;Weltklasse
2803632;Altheim;89605;Baden-Württemberg;Weltklasse
2790973;Altheim (Alb);89174;Baden-Württemberg;Weltklasse
933498;Althengstett;75382;Baden-Württemberg;Weltklasse
409203;Alt-Hohenschönhausen;13051;Berlin;Weltklasse
409203;Alt-Hohenschönhausen;13053;Berlin;Weltklasse
409203;Alt-Hohenschönhausen;13055;Berlin;Weltklasse
1250687;Althornbach;66484;Rheinland-Pfalz;Weltklasse
400938;Althütte;71566;Baden-Württemberg;Weltklasse
1318343;Althüttendorf;16247;Brandenburg;Weltklasse
2020631;Altkalen;17179;Mecklenburg-Vorpommern;Weltklasse
2778468;Altkirchen;04626;Thüringen;Weltklasse
1451540;Alt Krenzlin;19288;Mecklenburg-Vorpommern;Weltklasse
1332946;Altlandsberg;15345;Brandenburg;Weltklasse
1269719;Altlay;56858;Rheinland-Pfalz;Weltklasse
1249748;Altleiningen;67316;Rheinland-Pfalz;Weltklasse
1249748;Altleiningen;67317;Rheinland-Pfalz;Weltklasse
453415;Altlußheim;68804;Baden-Württemberg;Weltklasse
943548;Altmannstein;93336;Bayern;Weltklasse
1284744;Altmärkische Höhe;39606;Sachsen-Anhalt;Weltklasse
1284744;Altmärkische Höhe;39615;Sachsen-Anhalt;Weltklasse
1284749;Altmärkische Wische;39615;Sachsen-Anhalt;Weltklasse
1444893;Alt Meteln;19069;Mecklenburg-Vorpommern;Weltklasse
414485;Altmittweida;09648;Sachsen;Weltklasse
1467346;Alt Mölln;23881;Schleswig-Holstein;Weltklasse
167317;Altomünster;85250;Bayern;Weltklasse
30223;Altona;20257;Hamburg;Weltklasse
30223;Altona;20357;Hamburg;Weltklasse
30223;Altona;20359;Hamburg;Weltklasse
30223;Altona;22525;Hamburg;Weltklasse
30223;Altona;22547;Hamburg;Weltklasse
30223;Altona;22549;Hamburg;Weltklasse
30223;Altona;22559;Hamburg;Weltklasse
30223;Altona;22587;Hamburg;Weltklasse
30223;Altona;22589;Hamburg;Weltklasse
30223;Altona;22605;Hamburg;Weltklasse
30223;Altona;22607;Hamburg;Weltklasse
30223;Altona;22609;Hamburg;Weltklasse
30223;Altona;22761;Hamburg;Weltklasse
30223;Altona;22763;Hamburg;Weltklasse
30223;Altona;22765;Hamburg;Weltklasse
30223;Altona;22767;Hamburg;Weltklasse
30223;Altona;22769;Hamburg;Weltklasse
942029;Altötting;84503;Bayern;Weltklasse
1259135;Altrich;54518;Rheinland-Pfalz;Weltklasse
418402;Altrip;67122;Rheinland-Pfalz;Weltklasse
1171858;Altscheid;54636;Rheinland-Pfalz;Weltklasse
1424389;Alt Schwerin;17214;Mecklenburg-Vorpommern;Weltklasse
2808120;Altshausen;88361;Baden-Württemberg;Weltklasse
